t,ts_unix,runners,backlog,running,traffic
327.5,1782550669.9,1,0,0,0
329.8,1782550672.2,1,0,0,0
332.0,1782550674.5,1,0,0,0
334.4,1782550676.7,1,0,0,0
336.6,1782550679.0,1,0,0,0
338.8,1782550681.2,1,0,0,0
341.1,1782550683.4,1,0,0,0
343.3,1782550685.7,1,0,0,0
345.5,1782550687.9,1,0,0,0
347.7,1782550690.1,1,0,0,0
350.0,1782550692.4,1,0,0,0
352.2,1782550694.6,1,0,0,0
354.4,1782550696.9,1,0,0,0
356.7,1782550699.1,1,0,0,0
358.9,1782550701.3,1,0,0,0
361.2,1782550703.6,1,0,0,0
363.4,1782550705.8,1,0,0,0
365.6,1782550708.0,1,0,0,0
367.9,1782550710.3,1,0,0,0
370.1,1782550712.5,1,0,0,0
372.3,1782550714.8,1,0,0,0
374.6,1782550717.0,1,0,0,0
376.8,1782550719.2,1,0,0,0
379.1,1782550721.5,1,0,0,0
381.3,1782550723.7,1,0,0,0
383.5,1782550726.0,1,0,0,0
385.8,1782550728.2,1,0,0,0
388.0,1782550730.4,1,0,0,0
390.2,1782550732.6,1,0,0,0
392.5,1782550734.9,1,0,0,0
394.8,1782550737.2,1,0,0,0
397.0,1782550739.4,1,0,0,0
399.2,1782550741.6,1,0,0,0
401.5,1782550743.8,1,0,0,0
403.7,1782550746.1,1,0,0,0
405.9,1782550748.3,1,0,0,0
408.1,1782550750.6,1,0,0,0
410.4,1782550752.8,1,0,0,0
412.6,1782550755.0,1,0,0,0
414.9,1782550757.2,1,0,0,0
417.1,1782550759.5,1,0,0,0
419.3,1782550761.7,1,0,0,0
421.6,1782550764.0,1,0,0,0
423.8,1782550766.2,1,0,0,0
426.0,1782550768.4,1,0,0,0
428.3,1782550770.6,1,0,0,0
430.5,1782550772.9,1,0,0,0
432.7,1782550775.1,1,0,0,0
435.0,1782550777.4,1,0,0,0
437.2,1782550779.6,1,0,0,0
439.5,1782550781.9,1,0,0,0
441.7,1782550784.2,1,0,0,0
444.0,1782550786.4,1,0,0,0
446.3,1782550788.7,1,0,0,0
448.5,1782550790.9,1,0,0,0
450.8,1782550793.2,1,0,0,0
453.0,1782550795.4,1,0,0,0
455.3,1782550797.7,1,0,0,0
457.5,1782550800.0,1,0,0,0
459.8,1782550802.3,1,0,0,0
462.1,1782550804.5,1,0,0,0
464.4,1782550806.8,1,0,0,0
466.6,1782550809.0,1,0,0,0
468.9,1782550811.3,1,0,0,0
471.1,1782550813.6,1,0,0,0
473.4,1782550815.8,1,0,0,0
475.7,1782550818.1,1,0,0,0
477.9,1782550820.3,1,0,0,0
480.1,1782550822.5,1,0,0,0
482.4,1782550824.8,1,0,0,0
484.6,1782550827.0,1,0,0,0
486.9,1782550829.3,1,0,0,0
489.1,1782550831.5,1,0,0,0
491.3,1782550833.8,1,0,0,0
493.7,1782550836.1,1,0,0,0
495.9,1782550838.3,1,0,0,0
498.2,1782550840.6,1,0,0,0
500.4,1782550842.9,1,0,0,0
502.7,1782550845.1,1,0,0,0
504.9,1782550847.4,1,0,0,0
507.2,1782550849.6,1,0,0,0
509.4,1782550851.8,1,0,0,0
511.7,1782550854.1,1,0,0,0
513.9,1782550856.3,1,0,0,0
516.2,1782550858.6,1,0,0,0
518.4,1782550860.8,1,0,0,0
520.7,1782550863.1,1,0,0,0
522.9,1782550865.4,1,0,0,0
525.2,1782550867.6,1,0,0,0
527.5,1782550869.9,1,0,0,0
529.7,1782550872.1,1,0,0,0
532.0,1782550874.4,1,0,0,0
534.2,1782550876.6,1,0,0,0
536.4,1782550878.8,1,0,0,0
538.7,1782550881.1,1,0,0,0
