Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
STREAM,E2E,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0,0.7922194975166604,0.0,31000,47000,69000,76000,104000,111000,121000,122000,124000,124000,124000
STREAM,TTFT,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0,0.9506633970199926,0.0,1500,12000,24000,31000,62000,81000,92000,94000,97000,97000,97000
POST,chat (headers),190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0,0.7922194975166604,0.0,920,1000,27000,32000,63000,66000,76000,78000,79000,79000,79000
,Aggregated,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0,2.5351023920533136,0.0,7400,25000,41000,49000,74000,93000,108000,116000,124000,124000,124000
