Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782549164,12,POST,chat (headers),0.100000,0.000000,950,950,1400,1400,1400,1400,1400,1400,1400,1400,1400,3,0,950,1060.9212500276044,868.0739590199664,1367.707291035913,0.0
1782549164,12,,Aggregated,0.700000,0.000000,960,2000,3900,8100,9300,10000,10000,10000,10000,10000,10000,14,0,960,3011.334721156995,868.0739590199664,9978.684186935425,0.0
1782549165,13,STREAM,E2E,0.100000,0.000000,9300,9300,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,0,8100,8633.246064186096,7114.138841629028,9978.684186935425,0.0
1782549165,13,STREAM,TTFT,0.600000,0.000000,960,980,2000,2000,3900,3900,3900,3900,3900,3900,3900,9,0,960,1393.4074242909749,906.3029289245605,3884.855031967163,0.0
1782549165,13,POST,chat (headers),0.100000,0.000000,950,950,1400,1400,1400,1400,1400,1400,1400,1400,1400,4,0,870,999.6908332686871,815.9995829919353,1367.707291035913,0.0
1782549165,13,,Aggregated,0.800000,0.000000,980,2000,7100,7100,9300,10000,10000,10000,10000,10000,10000,17,0,980,3004.259671084583,815.9995829919353,9978.684186935425,0.0
1782549166,14,STREAM,E2E,0.300000,0.000000,9300,9300,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,0,8100,8633.246064186096,7114.138841629028,9978.684186935425,0.0
1782549166,14,STREAM,TTFT,0.600000,0.000000,960,980,990,990,2000,2000,2000,2000,2000,2000,2000,10,0,960,1353.4992694854736,906.3029289245605,3884.855031967163,0.0
1782549166,14,POST,chat (headers),0.300000,0.000000,950,950,1400,1400,1400,1400,1400,1400,1400,1400,1400,4,0,870,999.6908332686871,815.9995829919353,1367.707291035913,0.0
1782549166,14,,Aggregated,1.200000,0.000000,980,1400,7100,7100,9300,10000,10000,10000,10000,10000,10000,18,0,980,2892.5966824818815,815.9995829919353,9978.684186935425,0.0
1782549167,15,STREAM,E2E,0.400000,0.000000,8100,9300,9300,10000,10000,10000,10000,10000,10000,10000,10000,5,0,8100,8354.900455474854,7114.138841629028,9978.684186935425,0.0
1782549167,15,STREAM,TTFT,0.700000,0.000000,950,960,980,980,990,990,990,990,990,990,990,11,0,960,1315.4249841516669,906.3029289245605,3884.855031967163,0.0
1782549167,15,POST,chat (headers),0.400000,0.000000,870,950,950,1400,1400,1400,1400,1400,1400,1400,1400,5,0,870,969.2376666236669,815.9995829919353,1367.707291035913,0.0
1782549167,15,,Aggregated,1.500000,0.000000,960,990,7100,7200,9300,10000,10000,10000,10000,10000,10000,21,0,980,2909.0650207695685,815.9995829919353,9978.684186935425,0.0
1782549168,16,STREAM,E2E,0.400000,0.000000,8100,9300,9300,10000,10000,10000,10000,10000,10000,10000,10000,5,0,8100,8354.900455474854,7114.138841629028,9978.684186935425,0.0
1782549168,16,STREAM,TTFT,0.800000,0.000000,950,960,970,980,990,990,990,990,990,990,990,13,0,960,1261.268138885498,906.3029289245605,3884.855031967163,0.0
1782549168,16,POST,chat (headers),0.400000,0.000000,870,950,950,1400,1400,1400,1400,1400,1400,1400,1400,5,0,870,969.2376666236669,815.9995829919353,1367.707291035913,0.0
1782549168,16,,Aggregated,1.600000,0.000000,960,990,7100,7200,9300,10000,10000,10000,10000,10000,10000,23,0,970,2739.8772354784383,815.9995829919353,9978.684186935425,0.0
